frame_idx,timestamp_s,ax,ay,az,gx,gy,gz
0,0.000000,0.00000000,0.00000000,0.00000000,0.0,0.0,0.0
1,0.034418,-0.12424755,0.00594544,0.09566534,0.0,0.0,0.0
2,0.068837,0.02474499,0.02594209,0.49458408,0.0,0.0,0.0
3,0.103255,0.01936722,-0.06327954,-0.26349884,0.0,0.0,0.0
4,0.137673,0.01565170,0.13241124,0.28764224,0.0,0.0,0.0
5,0.172091,-0.12794399,0.06880072,0.18694997,0.0,0.0,0.0
6,0.206510,0.06422043,0.05458919,-0.05158353,0.0,0.0,0.0
7,0.240928,-0.05799294,0.11510037,0.06615520,0.0,0.0,0.0
8,0.275346,-0.00157642,0.05207482,-0.04951322,0.0,0.0,0.0
9,0.309764,0.06018353,-0.00896794,-0.21853316,0.0,0.0,0.0
10,0.344183,-0.02068233,0.02549344,-0.12640858,0.0,0.0,0.0
11,0.378601,0.22312832,0.09003645,0.09449446,0.0,0.0,0.0
12,0.413019,-0.03275394,-0.06685593,-0.05542874,0.0,0.0,0.0
13,0.447438,0.03468323,0.05906666,-0.07501233,0.0,0.0,0.0
14,0.481856,0.02719879,-0.04410841,-0.01109362,0.0,0.0,0.0
15,0.516274,-0.02675343,-0.01696756,-0.01524925,0.0,0.0,0.0
16,0.550692,0.10364819,-0.00846433,0.26089060,0.0,0.0,0.0
17,0.585111,0.23132896,-0.11415504,-0.05464959,0.0,0.0,0.0
18,0.619529,0.02156734,-0.07288665,0.24159849,0.0,0.0,0.0
19,0.653947,0.14300156,0.03910379,0.18784797,0.0,0.0,0.0
20,0.688365,0.13989449,-0.04461993,-0.01836562,0.0,0.0,0.0
21,0.722784,-0.12022686,0.01081307,0.10213494,0.0,0.0,0.0
22,0.757202,-0.21675014,0.01731445,0.18466353,0.0,0.0,0.0
23,0.791620,-0.21573639,-0.00907669,-0.09076476,0.0,0.0,0.0
24,0.826039,-0.19480324,0.05254364,-0.05547953,0.0,0.0,0.0
25,0.860457,-0.16641521,0.02438053,0.04787570,0.0,0.0,0.0
26,0.894875,0.04213715,0.06213741,-0.34407794,0.0,0.0,0.0
27,0.929293,-0.14839935,0.00781859,-0.01141298,0.0,0.0,0.0
28,0.963712,-0.12011623,-0.14095701,-0.06881458,0.0,0.0,0.0
29,0.998130,0.14545250,-0.06780402,-0.13630456,0.0,0.0,0.0
30,1.032548,0.03275681,-0.30057207,-0.10124880,0.0,0.0,0.0
31,1.066966,-0.03494549,-0.34240267,-0.02525073,0.0,0.0,0.0
32,1.101385,0.06634521,-0.35946658,0.01970100,0.0,0.0,0.0
33,1.135803,0.00518227,-0.47799236,-0.06985033,0.0,0.0,0.0
34,1.170221,0.00481606,-0.48227122,0.09358698,0.0,0.0,0.0
35,1.204640,0.01553631,-0.44159740,0.13362271,0.0,0.0,0.0
36,1.239058,0.04766083,-0.33834279,0.18694097,0.0,0.0,0.0
37,1.273476,0.06417274,-0.23276766,0.21778888,0.0,0.0,0.0
38,1.307894,-0.00380802,-0.22556059,0.11400479,0.0,0.0,0.0
39,1.342313,-0.02969933,-0.00817361,-0.02135330,0.0,0.0,0.0
40,1.376731,-0.05809212,0.09070924,0.16399163,0.0,0.0,0.0
